time,I_cell,T_stack,P_ano,P_cat,m_dot_Osep,m_dot_Hsep,C1,C2,C3,C4,C5,C6,Fault_class
9.4,25.1017482963361,311.843960254103,108496.358295588,1105003.64170441,0.0169927165911764,0.0100072834088236,0,0,0,0,0,0,0
9.6,25.1017489038008,311.84396239685,108496.358295499,1105003.6417045,0.0169927165909979,0.0100072834090021,0,0,0,0,0,0,0
9.8,25.1017493513837,311.843963975636,108496.358295433,1105003.64170457,0.0169927165908664,0.0100072834091336,0,0,0,0,0,0,0
10,25.101749681165,311.843965138893,108496.358295385,1105003.64170462,0.0169927165907695,0.0100072834092305,0,0,0,0,0,0,0
10.2,25.1017499241493,311.843965995987,108496.358295349,1105003.64170465,0.0169927165906981,0.0100072834093019,0,0,0,0,0,0,0
10.4,25.1017501031813,311.843966627497,108496.358295323,1105003.64170468,0.0169927165906455,0.0100072834093545,0,0,0,0,0,0,0
10.6,25.101750235093,311.843967092797,108496.358295303,1105003.6417047,0.0169927165906067,0.0100072834093933,0,0,0,0,0,0,0
10.8,25.1017503322861,311.843967435632,108496.358295289,1105003.64170471,0.0169927165905782,0.0100072834094218,0,0,0,0,0,0,0
11,25.1017504038985,311.843967688235,108496.358295279,1105003.64170472,0.0169927165905571,0.0100072834094429,0,0,0,0,0,0,0
11.2,25.1017504566628,311.843967874354,108496.358295271,1105003.64170473,0.0169927165905416,0.0100072834094584,0,0,0,0,0,0,0
11.4,25.1017504955398,311.843968011487,108496.358295265,1105003.64170473,0.0169927165905302,0.0100072834094698,0,0,0,0,0,0,0
11.6,25.1017505241846,311.843968112527,108496.358295261,1105003.64170474,0.0169927165905218,0.0100072834094782,0,0,0,0,0,0,0
11.8,25.1017505452901,311.843968186974,108496.358295258,1105003.64170474,0.0169927165905156,0.0100072834094844,0,0,0,0,0,0,0
12,25.1017505608409,311.843968241827,108496.358295256,1105003.64170474,0.016992716590511,0.010007283409489,0,0,0,0,0,0,0
12.2,25.1017505722987,311.843968282243,108496.358295254,1105003.64170475,0.0169927165905076,0.0100072834094924,0,0,0,0,0,0,0
12.4,25.1017505807409,311.843968312022,108496.358295253,1105003.64170475,0.0169927165905052,0.0100072834094948,0,0,0,0,0,0,0
12.6,25.1017505869611,311.843968333963,108496.358295252,1105003.64170475,0.0169927165905033,0.0100072834094967,0,0,0,0,0,0,0
12.8,25.1017505915442,311.843968350129,108496.358295251,1105003.64170475,0.016992716590502,0.010007283409498,0,0,0,0,0,0,0
13,25.1017505949211,311.843968362041,108496.35829525,1105003.64170475,0.016992716590501,0.010007283409499,0,0,0,0,0,0,0
13.2,25.1017505974092,311.843968370817,108496.35829525,1105003.64170475,0.0169927165905003,0.0100072834094997,0,0,0,0,0,0,0
13.4,25.1017505992424,311.843968377283,108496.35829525,1105003.64170475,0.0169927165904997,0.0100072834095003,0,0,0,0,0,0,0
13.6,25.1017506005931,311.843968382048,108496.35829525,1105003.64170475,0.0169927165904993,0.0100072834095007,0,0,0,0,0,0,0
13.8,25.1017506015883,311.843968385558,108496.35829525,1105003.64170475,0.016992716590499,0.010007283409501,0,0,0,0,0,0,0
14,25.1017506023216,311.843968388145,108496.358295249,1105003.64170475,0.0169927165904988,0.0100072834095012,0,0,0,0,0,0,0
14.2,25.1017506028619,311.843968390051,108496.358295249,1105003.64170475,0.0169927165904987,0.0100072834095013,0,0,0,0,0,0,0
14.4,25.10175060326,311.843968391455,108496.358295249,1105003.64170475,0.0169927165904985,0.0100072834095015,0,0,0,0,0,0,0
14.6,25.1017506035533,311.84396839249,108496.358295249,1105003.64170475,0.0169927165904985,0.0100072834095015,0,0,0,0,0,0,0
14.8,25.1017506037694,311.843968393252,108496.358295249,1105003.64170475,0.0169927165904984,0.0100072834095016,0,0,0,0,0,0,0
15,25.1017506039287,311.843968393814,108496.358295249,1105003.64170475,0.0169927165904983,0.0100072834095017,0,0,0,0,0,0,0
15.2,25.101750604046,311.843968394227,108496.358295249,1105003.64170475,0.0169927165904983,0.0100072834095017,0,0,0,0,0,0,0
15.4,25.1017506041324,311.843968394532,108496.358295249,1105003.64170475,0.0169927165904983,0.0100072834095017,0,0,0,0,0,0,0
15.6,25.1017506041961,311.843968394757,108496.358295249,1105003.64170475,0.0169927165904983,0.0100072834095017,0,0,0,0,0,0,0
15.8,25.1017506042431,311.843968394923,108496.358295249,1105003.64170475,0.0169927165904983,0.0100072834095017,0,0,0,0,0,0,0
16,25.1017506042777,311.843968395045,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,1,0
16.2,25.1017506043031,311.843968395134,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,1,0
16.4,25.1017506043219,311.843968395201,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,1,0
16.6,25.1017506043357,311.843968395249,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
16.8,25.1017506043459,311.843968395285,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
17,25.1017506043534,311.843968395312,108496.358295249,1105003.64170475,0.0169927165904982,0.0100072834095018,0,0,0,0,0,0,0
