time,ARR1,ARR2,ARR3,ARR4,ARR5,ARR6,C1,C2,C3,C4,C5,C6,Fault_class
21.2,-0.0160982032482762,-2.07313269956081e-06,-1.93066912402299e-06,3.49215638659266e-05,3.49215638659618e-05,-2.51825689516774,0,0,0,0,0,0,0
21.4,0.00806692358838072,3.62258188975299e-06,3.49153287039322e-06,-1.80485918148049e-05,-1.80485918147688e-05,2.1958584942816,0,0,0,0,0,0,0
21.6,0.00665597244861711,-1.60067803932344e-07,-2.72573339975359e-07,-1.48272396806428e-05,-1.4827239680601e-05,0.471794279277412,0,0,0,0,0,0,0
21.8,0.00331810463561167,-4.64645746002138e-07,-5.27239823193734e-07,-7.44187483604718e-06,-7.44187483602265e-06,0.0995808545497751,0,0,0,0,0,0,0
22,0.00255124363159816,-9.38380504335295e-08,-1.39709045070113e-07,-5.70293380940849e-06,-5.70293380940577e-06,0.231380482857249,0,0,0,0,0,0,0
22.2,0.000345209915341971,-3.19103343321108e-07,-3.33641848498308e-07,-8.42734669858876e-07,-8.42734669854574e-07,-0.0627265491749927,0,0,0,0,0,0,0
22.4,-0.0108210603665913,-1.69653296496698e-06,-1.57129393994407e-06,2.34887957793887e-05,2.34887957793783e-05,-1.80342569573708,0,0,0,0,0,0,0
22.6,-0.00827635757627618,3.19422490426541e-07,4.20681861017121e-07,1.79781392799815e-05,1.79781392799455e-05,-0.826858574258762,0,0,0,0,0,0,0
22.8,0.00590365643036758,2.11992058093117e-06,2.04765532484477e-06,-1.30527271055785e-05,-1.30527271056341e-05,1.28758046623162,0,0,0,0,0,0,0
23,0.0267960068286756,3.2528835485008e-06,2.91795504144215e-06,-5.89994529923983e-05,-5.89994529924477e-05,4.04410198053852,0,0,0,0,0,0,0
23.2,0.0189468127483603,-1.0381574973166e-06,-1.28519110037371e-06,-4.17003031912096e-05,-4.17003031912529e-05,1.7668430476939,0,0,0,0,0,0,0
23.4,-0.0130857502346268,-4.74635952135447e-06,-4.59995885177663e-06,2.78903565021871e-05,2.78903565021522e-05,-2.79639262176632,0,0,0,0,0,0,0
23.6,0.00662673058786892,2.92678450509873e-06,2.84732809478914e-06,-1.51024336978335e-05,-1.51024336978004e-05,2.37963222459998,0,0,0,0,0,0,0
23.8,0.00333112767940754,-4.73848271681004e-07,-5.20570274323507e-07,-7.69820886152431e-06,-7.69820886151979e-06,0.581118967843082,0,0,0,0,0,0,0
24,0.0168660756404389,2.091092370316e-06,1.88057267306793e-06,-3.72703654514113e-05,-3.72703654514034e-05,3.11867915785373,0,0,0,0,0,0,0
24.2,0.0217519590188549,8.50048924978571e-07,5.7416503443465e-07,-4.78747537267154e-05,-4.78747537266875e-05,3.28402454584334,0,0,0,0,0,0,0
24.4,0.0133819084497743,-1.14811655486545e-06,-1.32315680134317e-06,-2.94741882560854e-05,-2.94741882560794e-05,1.83149959268193,0,0,0,0,0,0,0
24.6,0.000376409733643732,-1.90329464527895e-06,-1.91536211753045e-06,-1.04129814179044e-06,-1.04129814180343e-06,0.31652283482136,0,0,0,0,0,0,0
24.8,0.0151715631242308,2.26926682116153e-06,2.08183864917171e-06,-3.34386858591427e-05,-3.34386858591222e-05,3.59558971188795,0,0,0,0,0,0,0
25,0.00171311959211374,-1.96242339064055e-06,-1.99178514676063e-06,-3.99650662682782e-06,-3.99650662683095e-06,0.488849078124836,0,0,0,0,0,0,0
25.2,-0.00539117021686021,-1.07744003802813e-06,-1.01355818258283e-06,1.15726126565261e-05,1.15726126564776e-05,0.0933452695517621,0,0,0,0,0,0,0
25.4,0.00719768553638182,1.89075755228144e-06,1.80393836522462e-06,-1.59372918842348e-05,-1.59372918842991e-05,2.50690133446006,0,0,0,0,0,0,0
25.6,0.00916784998013601,3.43143755972114e-07,2.26882359327713e-07,-2.01815827191928e-05,-2.01815827192425e-05,2.0349513540878,0,0,0,0,0,0,0
25.8,-0.0106361544748578,-2.95649231849049e-06,-2.83242797193642e-06,2.29214623351073e-05,2.29214623350537e-05,-1.36209641989307,0,0,0,0,0,0,0
26,-0.00885491649942651,1.98675194780476e-07,3.10464283990354e-07,1.91305201917291e-05,1.91305201917354e-05,-0.0324067027742734,0,0,0,0,0,0,0
26.2,-0.0072271458555733,1.88450147031055e-07,2.79941391838663e-07,1.56429783711224e-05,1.56429783711016e-05,-0.0935576282857438,0,0,0,0,0,0,0
