No training samples,Model,Mean F1 score,Error
4,AE,0.7513997866910301,2.2370997001543682e-05
8,AE,0.7866354967443666,0.0001174740025530589
16,AE,0.8301808007624064,0.00016658596293240714
32,AE,0.9263681658155278,9.355020084716507e-05
64,AE,0.9392246009234777,0.00029997812086425427
90,AE,0.9267483658839188,6.022042966133979e-05
