No training samples,Model,Mean F1 score,Error
4,SOA3,0.6712322835816126,0.001665402727191214
8,SOA3,0.7968321542397977,0.0040076440542947955
16,SOA3,0.8530786670117523,0.000994320015521089
32,SOA3,0.9151044994564863,3.783281196093596e-05
64,SOA3,0.9235996107492481,4.703935893050333e-05
90,SOA3,0.9212038443938159,3.5955151897260887e-05
