time,ARR1,ARR2,ARR3,ARR4,ARR5,ARR6,h1,h2,h3,h4,h5,h6,Fault_class
0,0,0,0,0,0,0,0.0317417592305032,0.000170252449380873,0.000100252449380752,0.0170422096706705,0.0101252096706602,0.00453325585208418,0
0.2,-0.254582815719339,-4.25970997626179e-06,4.259709976435e-06,-8.30910744902652e-06,-8.30910744906966e-06,-16.2210809951393,0.0405474530500447,0.000171971304204191,0.000102188893072836,0.0171795334093426,0.0102750474521336,16.8373285024947,0
0.4,-0.14255107470142,-3.67024746382464e-07,6.72162681018613e-06,-6.119452195404e-05,-6.11945219540978e-05,-1.46361228260031,0.039728797964753,0.000169991736251749,0.00010002755783138,0.0169497031755843,0.010046097955889,10.3619939362332,0
0.6,-0.10539348847321,-5.53835608310111e-06,-3.55930625404099e-07,-2.10413547514927e-05,-2.1041354751509e-05,3.48058846108691,0.0402509255040266,0.00017130541551642,0.000101359145346686,0.0171010565720509,0.0101977772682718,11.1906561558539,0
0.8,-0.0564261733161071,-3.82016229690709e-07,3.13757809482406e-06,-4.40622215004767e-05,-4.40622215004917e-05,12.0177056553071,0.0399878559394106,0.000170353271963442,0.000100399432730219,0.0170239231003612,0.0101208856371204,7.18248311752392,0
1,-0.0356924729390337,-2.0221078003143e-06,4.60323574768371e-07,-3.41118952522497e-05,-3.4111895252253e-05,14.4567910549847,0.0398501604038015,0.000169849674170627,9.98978046364346e-05,0.0169825328529093,0.0100796744815376,6.06058592910198,0
1.2,-0.0280956168232482,-2.35178912392305e-06,-5.23493145617351e-07,-1.38283532279191e-05,-1.38283532279179e-05,15.5753918023319,0.0397269095206598,0.000169463402903519,9.95128630226039e-05,0.0169448549519983,0.0100421290173226,5.02947089577454,0
1.4,-0.028626088558277,-2.51231398769542e-06,-1.08023217983469e-06,1.21666415963118e-05,1.21666415962751e-05,15.3705738373535,0.0399730975893356,0.000170303654306737,0.000100356589606748,0.0170195912083998,0.0101169631111829,5.28535470889131,0
1.6,-0.017740607851051,-5.34669012490553e-08,9.55504677647336e-07,4.94456456268776e-06,4.94456456265365e-06,16.818470800537,0.0400737915625418,0.000170506346494057,0.000100558565298493,0.0170506164450344,0.010148060573244,4.33418261190808,0
1.8,-0.00586444286565903,6.66571292869474e-07,1.31313007697543e-06,-1.01348833565646e-05,-1.01348833565465e-05,17.4065584774391,0.0399989991543574,0.000170257185629728,0.000100307750228414,0.0170276110470114,0.0101251084657664,3.42244326144828,0
2,-0.00130643803860771,-6.08878599024145e-08,3.70881589869188e-07,-1.26703090308428e-05,-1.26703090308108e-05,16.6144434610585,0.0400579410856116,0.000170428222840073,0.000100480249735299,0.0170459059923881,0.0101434427160858,3.48824302721184,0
2.2,0.00442471063317294,3.85950452113285e-07,6.32591648098168e-07,-2.04065208645465e-05,-2.04065208645596e-05,16.4070009646673,0.0400544266555679,0.000170375393737906,0.000100426508862054,0.0170448689742137,0.0101424346797192,3.08666524589234,0
2.4,0.00810497176989221,2.60491189215891e-07,3.7707269179596e-07,-2.52558309141682e-05,-2.52558309141543e-05,15.7617534378805,0.0399096829100085,0.000170035284971228,0.00010008656883875,0.0169999372501236,0.0100975243213267,2.51050395908622,0
2.6,0.00399900756864609,-8.34269417085917e-07,-7.26814630962054e-07,-1.3700817420175e-05,-1.37008174201828e-05,13.9344945823343,0.0402256605533023,0.000171154047750239,0.000101206213752132,0.0170983522112257,0.010195955031148,3.70254801766313,0
2.8,0.0155783636529764,1.69550266426229e-06,1.61479587965721e-06,-3.83944913266063e-05,-3.83944913266056e-05,15.2494653346675,0.0398235935832567,0.000169968469923662,0.000100019515531679,0.0169731692719581,0.0100707836990645,3.25291931032241,0
3,0.00509904569647768,-1.66830686065242e-06,-1.65364468453054e-06,-1.36907378339861e-05,-1.36907378340143e-05,11.9006253845321,0.0394566778357468,0.000168801250992402,9.88533985464021e-05,0.016859620708341,0.0099572436895479,3.19004598620939,0
3.2,-0.0186235366690715,-3.77394353199653e-06,-3.47932071673047e-06,4.0294861668888e-05,4.02948616688416e-05,7.67005756196559,0.0395887975602903,0.000169026134784197,9.9079427690825e-05,0.0169003579783333,0.00999798726325727,2.91135809913133,0
3.4,-0.0285068918564612,-1.73631768251231e-06,-1.32282862108096e-06,6.30587691828738e-05,6.30587691828862e-05,6.34330653686893,0.0403511835760238,0.000171896849263281,0.000101949798062485,0.0171378648521609,0.0102354987822446,4.7157734872828,0
3.6,-0.00054019289543587,4.20580591377422e-06,4.25708237177413e-06,3.66650703409466e-08,3.66650703473434e-08,10.5313199187765,0.0398436277701692,0.000170114010174391,0.000100164900190951,0.016979330212204,0.0100769675651621,3.7643173146844,0
3.8,-0.00479491246851022,-7.14023596690128e-07,-6.30180738257096e-07,1.00391022379046e-05,1.00391022379564e-05,7.10018603394065,0.0397229322646186,0.000169434563414091,9.94867866307292e-05,0.0169418365948624,0.0100394764699729,2.69233454320499,0
4,-0.0131316396536128,-1.37294901417323e-06,-1.18786745897301e-06,2.91022186003337e-05,2.91022186003681e-05,5.17689697488615,0.0397506061085673,0.000169447854425476,9.95004486203315e-05,0.0169504161348308,0.0100480578683631,2.54245424094033,0
4.2,-0.017462297801301,-7.88103578738646e-07,-5.48839200131682e-07,3.90540105388612e-05,3.90540105389128e-05,4.14468690982715,0.0397716293762762,0.000169508113189029,9.95606343725706e-05,0.0169569384488555,0.0100545815517297,2.51547047071626,0
4.4,-0.019409931634362,-4.35097461655236e-07,-1.72437704128909e-07,4.35757124943021e-05,4.35757124943453e-05,3.24928959958844,0.0398315731820904,0.000169724957972132,9.97774236951686e-05,0.0169755643528742,0.0100732084647119,2.62205002565156,0
4.6,-0.0179922001121547,8.6961497114209e-08,3.30275844075156e-07,4.04677979876449e-05,4.04677979876747e-05,2.81184165619462,0.0398296253159641,0.000169674004284645,9.97262960882095e-05,0.0169749565762638,0.0100726014315246,2.44397001269391,0
4.8,-0.0171301655074317,1.14020856957424e-08,2.41425964360265e-07,3.85844533053422e-05,3.85844533053852e-05,2.14459610810377,0.0398927262281017,0.000169918170800285,9.99704853718428e-05,0.0169945901192202,0.0100922355222463,2.62733573712945,0
5,-0.0136870074177199,4.26900612511589e-07,6.11718883303781e-07,3.08505534041813e-05,3.08505534042213e-05,2.03884128408756,0.0402784757969205,0.000171377808333055,0.000101429959583549,0.017115138800865,0.0102127846074914,3.56830373396604,0
5.2,0.00610302488041616,3.05092398007293e-06,2.98166373035871e-06,-1.40671647753405e-05,-1.40671647752974e-05,4.71833320979343,0.0399579539653767,0.000170324398546799,0.000100375542626588,0.0170149116936464,0.0101125577976497,3.33537316686422,0
